Name,Value(The authors cited by this author and the number of citations)
XUEFEI MA,"{'Zeeshan Babar': 1, 'SH Park': 1, 'Xin AbdelHamid': 1, 'Dang Yupu': 1, 'SH Yum': 1, 'Jw Han': 1, 'INVALID CITATION': 1, 'Sy Kim': 1, 'Yang Jiao': 1, 'Wenting Zheng': 1, 'Liu Weihong': 1, 'JS No': 1, 'SY Shin': 1, 'Kirti Rohilla': 1, 'Xiaofei Qi': 1, 'Zhao Xiangjun': 1, 'JI Namgung': 1, 'Km Kim': 1, 'Saving Gain': 1, 'Sy Chun': 1}"
AMIR ALI,"{'Zeeshan Babar': 1, 'SH Park': 1, 'Xin AbdelHamid': 1, 'Dang Yupu': 1, 'SH Yum': 1, 'Jw Han': 1, 'INVALID CITATION': 1, 'Sy Kim': 1, 'Yang Jiao': 1, 'Wenting Zheng': 1, 'Liu Weihong': 1, 'JS No': 1, 'SY Shin': 1, 'Kirti Rohilla': 1, 'Xiaofei Qi': 1, 'Zhao Xiangjun': 1, 'JI Namgung': 1, 'Km Kim': 1, 'Saving Gain': 1, 'Sy Chun': 1}"
GHAZANFAR MEHDI,"{'Zeeshan Babar': 1, 'SH Park': 1, 'Xin AbdelHamid': 1, 'Dang Yupu': 1, 'SH Yum': 1, 'Jw Han': 1, 'INVALID CITATION': 1, 'Sy Kim': 1, 'Yang Jiao': 1, 'Wenting Zheng': 1, 'Liu Weihong': 1, 'JS No': 1, 'SY Shin': 1, 'Kirti Rohilla': 1, 'Xiaofei Qi': 1, 'Zhao Xiangjun': 1, 'JI Namgung': 1, 'Km Kim': 1, 'Saving Gain': 1, 'Sy Chun': 1}"
Yiming Tanga,"{'Jiaqi Tan': 1, 'Jieming Zhu': 1, 'Takuya Watanabe': 1, 'Manishankar Mondal': 1, 'Ahmed Hassan': 1, 'Soila Kavulya': 1, 'Suhas Kabinna': 1, 'Iulian Neamtiu': 1, 'Baishakhi Ray': 1, 'Casey Casalnuovo': 1, 'ACMSIGAPP Limassol': 1, 'San Diego': 1, 'Nikolaos Tsantalis': 1, 'Adam Kiezun': 1, 'Yi Zeng': 1, 'Ameya Ketkar': 1, 'Hidehiko Masuhara': 1, 'Buenos Aires': 1, 'Sven Apel': 1, 'Yiming Tang': 1, 'Germany ACM': 1, 'Soyeon Park': 1, 'France SpringerVerlag': 1, 'Eclipse Foundation': 1, 'Yuchi Tian': 1, 'Awais Rashid': 1, 'Erich Gamma': 1, 'Pamela Bhattacharya': 1, 'Audris Mockus': 1, 'Rainer Niedermayr': 1, 'Teng Wang': 1, 'Cindy RubioGonzalez': 1, 'CorPaul Bezemer': 1, 'Heng Li': 1, 'Tobias Roehm': 1, 'Vahid Alizadeh': 1, 'Xinghao Pan': 1, 'Ding Yuan': 1, 'Armando Fox': 1, 'Mehdi Bagherzadeh': 1, 'Mik Kersten': 1, 'Priya Narasimhan': 1, 'USENIX Hollywood': 1, 'Gregor Kiczales': 1, 'Sirine Gharbi': 1, 'Weiyi Shang': 1, 'Ji Wang': 1, 'Xu Niu': 1, 'HungFu Chang': 1, 'Zhenhao Li': 1, 'Shilin He': 1, 'France ACM': 1, 'Qiang Fu': 1, 'Boyuan Chen': 1, 'Ying Zou': 1, 'John Lamping': 1, 'Pinjia He': 1, 'Emad Shihab': 1, 'David Patterson': 1, 'Rajeev Gandhi': 1, 'Zhuangbin Chen': 1, 'Neetu Sardana': 1, 'Huzefa Kagdi': 1, 'Ashish Sureka': 1, 'Yagnik Suchak': 1, 'Pankajan Chanthirasegaran': 1, 'Ali Mesbah': 1, 'Ling Huang': 1, 'Zhouyang Jia': 1, 'Marios Iliofotou': 1, 'Dirk Baumer': 1, 'Shanshan Li': 1, 'Mehran Hassani': 1, 'Jinfu Chen': 1, 'Santa Barbara': 1, 'Jaroslav Fowkes': 1, 'India ACM': 1, 'Matin Mansouri': 1, 'ACMIEEE Montreal': 1, 'Roman Haas': 1, 'Syed Ahmed': 1, 'TseHsun Chen': 1, 'Sangeeta Lal': 1, 'Jinqiu Yang': 1, 'Haochen He': 1, 'Michalis Faloutsos': 1, 'Wei Xu': 1}"
Allan Spektorb,"{'Jiaqi Tan': 1, 'Jieming Zhu': 1, 'Takuya Watanabe': 1, 'Manishankar Mondal': 1, 'Ahmed Hassan': 1, 'Soila Kavulya': 1, 'Suhas Kabinna': 1, 'Iulian Neamtiu': 1, 'Baishakhi Ray': 1, 'Casey Casalnuovo': 1, 'ACMSIGAPP Limassol': 1, 'San Diego': 1, 'Nikolaos Tsantalis': 1, 'Adam Kiezun': 1, 'Yi Zeng': 1, 'Ameya Ketkar': 1, 'Hidehiko Masuhara': 1, 'Buenos Aires': 1, 'Sven Apel': 1, 'Yiming Tang': 1, 'Germany ACM': 1, 'Soyeon Park': 1, 'France SpringerVerlag': 1, 'Eclipse Foundation': 1, 'Yuchi Tian': 1, 'Awais Rashid': 1, 'Erich Gamma': 1, 'Pamela Bhattacharya': 1, 'Audris Mockus': 1, 'Rainer Niedermayr': 1, 'Teng Wang': 1, 'Cindy RubioGonzalez': 1, 'CorPaul Bezemer': 1, 'Heng Li': 1, 'Tobias Roehm': 1, 'Vahid Alizadeh': 1, 'Xinghao Pan': 1, 'Ding Yuan': 1, 'Armando Fox': 1, 'Mehdi Bagherzadeh': 1, 'Mik Kersten': 1, 'Priya Narasimhan': 1, 'USENIX Hollywood': 1, 'Gregor Kiczales': 1, 'Sirine Gharbi': 1, 'Weiyi Shang': 1, 'Ji Wang': 1, 'Xu Niu': 1, 'HungFu Chang': 1, 'Zhenhao Li': 1, 'Shilin He': 1, 'France ACM': 1, 'Qiang Fu': 1, 'Boyuan Chen': 1, 'Ying Zou': 1, 'John Lamping': 1, 'Pinjia He': 1, 'Emad Shihab': 1, 'David Patterson': 1, 'Rajeev Gandhi': 1, 'Zhuangbin Chen': 1, 'Neetu Sardana': 1, 'Huzefa Kagdi': 1, 'Ashish Sureka': 1, 'Yagnik Suchak': 1, 'Pankajan Chanthirasegaran': 1, 'Ali Mesbah': 1, 'Ling Huang': 1, 'Zhouyang Jia': 1, 'Marios Iliofotou': 1, 'Dirk Baumer': 1, 'Shanshan Li': 1, 'Mehran Hassani': 1, 'Jinfu Chen': 1, 'Santa Barbara': 1, 'Jaroslav Fowkes': 1, 'India ACM': 1, 'Matin Mansouri': 1, 'ACMIEEE Montreal': 1, 'Roman Haas': 1, 'Syed Ahmed': 1, 'TseHsun Chen': 1, 'Sangeeta Lal': 1, 'Jinqiu Yang': 1, 'Haochen He': 1, 'Michalis Faloutsos': 1, 'Wei Xu': 1}"
Mehdi Bagherzadehc,"{'Jiaqi Tan': 1, 'Jieming Zhu': 1, 'Takuya Watanabe': 1, 'Manishankar Mondal': 1, 'Ahmed Hassan': 1, 'Soila Kavulya': 1, 'Suhas Kabinna': 1, 'Iulian Neamtiu': 1, 'Baishakhi Ray': 1, 'Casey Casalnuovo': 1, 'ACMSIGAPP Limassol': 1, 'San Diego': 1, 'Nikolaos Tsantalis': 1, 'Adam Kiezun': 1, 'Yi Zeng': 1, 'Ameya Ketkar': 1, 'Hidehiko Masuhara': 1, 'Buenos Aires': 1, 'Sven Apel': 1, 'Yiming Tang': 1, 'Germany ACM': 1, 'Soyeon Park': 1, 'France SpringerVerlag': 1, 'Eclipse Foundation': 1, 'Yuchi Tian': 1, 'Awais Rashid': 1, 'Erich Gamma': 1, 'Pamela Bhattacharya': 1, 'Audris Mockus': 1, 'Rainer Niedermayr': 1, 'Teng Wang': 1, 'Cindy RubioGonzalez': 1, 'CorPaul Bezemer': 1, 'Heng Li': 1, 'Tobias Roehm': 1, 'Vahid Alizadeh': 1, 'Xinghao Pan': 1, 'Ding Yuan': 1, 'Armando Fox': 1, 'Mehdi Bagherzadeh': 1, 'Mik Kersten': 1, 'Priya Narasimhan': 1, 'USENIX Hollywood': 1, 'Gregor Kiczales': 1, 'Sirine Gharbi': 1, 'Weiyi Shang': 1, 'Ji Wang': 1, 'Xu Niu': 1, 'HungFu Chang': 1, 'Zhenhao Li': 1, 'Shilin He': 1, 'France ACM': 1, 'Qiang Fu': 1, 'Boyuan Chen': 1, 'Ying Zou': 1, 'John Lamping': 1, 'Pinjia He': 1, 'Emad Shihab': 1, 'David Patterson': 1, 'Rajeev Gandhi': 1, 'Zhuangbin Chen': 1, 'Neetu Sardana': 1, 'Huzefa Kagdi': 1, 'Ashish Sureka': 1, 'Yagnik Suchak': 1, 'Pankajan Chanthirasegaran': 1, 'Ali Mesbah': 1, 'Ling Huang': 1, 'Zhouyang Jia': 1, 'Marios Iliofotou': 1, 'Dirk Baumer': 1, 'Shanshan Li': 1, 'Mehran Hassani': 1, 'Jinfu Chen': 1, 'Santa Barbara': 1, 'Jaroslav Fowkes': 1, 'India ACM': 1, 'Matin Mansouri': 1, 'ACMIEEE Montreal': 1, 'Roman Haas': 1, 'Syed Ahmed': 1, 'TseHsun Chen': 1, 'Sangeeta Lal': 1, 'Jinqiu Yang': 1, 'Haochen He': 1, 'Michalis Faloutsos': 1, 'Wei Xu': 1}"
Camilo Vel,{'Master Thesis': 1}
Rodolfo Garc,{'Master Thesis': 1}
Atik Mahmud,"{'Dasaklis TK': 1, 'Burger JC': 1, 'Deng RH': 1, 'Peters GW': 1, 'Pradhan BK': 1, 'Devi MS': 1, 'Kamble SS': 1, 'Jhanjhi NZ': 1, 'Singapore Springer': 1, 'Hasan HR': 1}"
Van Zaen,"{'Van Zaen': 1, 'De Chazal': 1}"
Ricard DelgadoGonzalo,"{'Van Zaen': 2, 'De Chazal': 1, 'Van Bulck': 1}"
ADAM SHIMI,"{'Elizabeth Borowsky': 1, 'Delivered Collection': 1, 'Maurice Herlihy': 1, 'Pierre Fraigniaud': 1, 'Michael Saks': 1, 'Amos Korman': 1, 'Ognjen Mari?': 1, 'Past Rounds': 1, 'Tzilla Elrad': 1, 'Thus NextsC': 1, 'HeardOf Predicate': 1, 'By De?nition': 1, 'Nicola Santoro': 1, 'Adam Shimi': 1, 'DEL DEL': 1, 'Christoph Sprenger': 1, 'Eshrat Arjomandi': 1, 'Oblivious Strategies': 1, 'Fabian Kuhn': 1, 'Martin Hutle': 1, 'Ulrich Schmid': 1, 'Dominating Strategy': 1, 'Dominating Predicate': 1, 'Matthias F¨¹gger': 1, 'Thomas Nowak': 1, 'Bernadette CharronBost': 1, 'HeardOf Collection': 1, 'Martin Biely': 1, 'Aur¨¦lie Hurault': 1, 'Vassos Hadzilacos': 1, 'Peter Robinson': 1, 'Emmanuel Godard': 1, 'Henri Debrat': 1, 'Domination Order': 1, 'Cezara Dr?goi': 1}"
AUR¨¦LIE HURAULT,"{'Elizabeth Borowsky': 1, 'Delivered Collection': 1, 'Maurice Herlihy': 1, 'Pierre Fraigniaud': 1, 'Michael Saks': 1, 'Amos Korman': 1, 'Ognjen Mari?': 1, 'Past Rounds': 1, 'Tzilla Elrad': 1, 'Thus NextsC': 1, 'HeardOf Predicate': 1, 'By De?nition': 1, 'Nicola Santoro': 1, 'Adam Shimi': 1, 'DEL DEL': 1, 'Christoph Sprenger': 1, 'Eshrat Arjomandi': 1, 'Oblivious Strategies': 1, 'Fabian Kuhn': 1, 'Martin Hutle': 1, 'Ulrich Schmid': 1, 'Dominating Strategy': 1, 'Dominating Predicate': 1, 'Matthias F¨¹gger': 1, 'Thomas Nowak': 1, 'Bernadette CharronBost': 1, 'HeardOf Collection': 1, 'Martin Biely': 1, 'Aur¨¦lie Hurault': 1, 'Vassos Hadzilacos': 1, 'Peter Robinson': 1, 'Emmanuel Godard': 1, 'Henri Debrat': 1, 'Domination Order': 1, 'Cezara Dr?goi': 1}"
Piyush Yadav,{'Morgan Kauf': 1}
Shamsuddin Ladha,{'Morgan Kauf': 1}
Shailesh Deshpande,{'Morgan Kauf': 1}
Edward Curry,{'Morgan Kauf': 1}
Jan Stodt,"{ 'ForschungsunionBerl Ger': 1, 'JE Ekberg': 1}"
Christoph Reich,"{ 'ForschungsunionBerl Ger': 1, 'JE Ekberg': 1}"
Rahim Rahmani,"{'Javier R¨¢zuri': 1, 'TC Aysal': 1, 'Karim Djouani': 1, 'Rahim Rahmani': 1}"
Ramin Firouzi,"{'Javier R¨¢zuri': 1, 'TC Aysal': 1, 'Karim Djouani': 1, 'Rahim Rahmani': 1}"
Theo Kanter,"{'Javier R¨¢zuri': 1, 'TC Aysal': 1, 'Karim Djouani': 1, 'Rahim Rahmani': 1}"
PETAR VUKMIROVI,"{'Schloss Dagstuhl': 1, 'Related Work': 1, 'MIT Press': 1, 'Lean Forward': 1}"
ALEXANDER BENTKAMP,"{'Schloss Dagstuhl': 1, 'Related Work': 1, 'MIT Press': 1, 'Lean Forward': 1}"
Roman Vygon,"{'Roy PP': 1, 'Online Available': 1, 'Thiagarajan JJ': 1}"
Nikolay Mikhaylovskiy,"{'Roy PP': 1, 'Online Available': 1, 'Thiagarajan JJ': 1}"
Supplier Fleet,{'RG Thompson': 1}
Bartosz Walter,"{'Michael Unterkalmsteiner': 1, 'Arif Khan': 1, 'Mohammad Zarour': 1, 'Richard Messnarz': 1, 'Tony Gorschek': 1, 'Onur Demirors': 1, 'Marina Adomeit': 1, 'MiguelAngel Sicilia': 1, 'Shamsul Sahibuddin': 1, 'Alain Abran': 1, 'Banu Aysolmaz': 1, 'Bartosz Walter': 1, 'Josselyn Chamilco': 1, 'Marcin Wolski': 1, 'Branko Marovic': 1, 'Sussy BayonaOre': 1}"
Branko Marovi,"{'Michael Unterkalmsteiner': 1, 'Arif Khan': 1, 'Mohammad Zarour': 1, 'Richard Messnarz': 1, 'Tony Gorschek': 1, 'Onur Demirors': 1, 'Marina Adomeit': 1, 'MiguelAngel Sicilia': 1, 'Shamsul Sahibuddin': 1, 'Alain Abran': 1, 'Banu Aysolmaz': 1, 'Bartosz Walter': 1, 'Josselyn Chamilco': 1, 'Marcin Wolski': 1, 'Branko Marovic': 1, 'Sussy BayonaOre': 1}"
Ivan Garnizov,"{'Michael Unterkalmsteiner': 1, 'Arif Khan': 1, 'Mohammad Zarour': 1, 'Richard Messnarz': 1, 'Tony Gorschek': 1, 'Onur Demirors': 1, 'Marina Adomeit': 1, 'MiguelAngel Sicilia': 1, 'Shamsul Sahibuddin': 1, 'Alain Abran': 1, 'Banu Aysolmaz': 1, 'Bartosz Walter': 1, 'Josselyn Chamilco': 1, 'Marcin Wolski': 1, 'Branko Marovic': 1, 'Sussy BayonaOre': 1}"
Marcin Wolski,"{'Michael Unterkalmsteiner': 1, 'Arif Khan': 1, 'Mohammad Zarour': 1, 'Richard Messnarz': 1, 'Tony Gorschek': 1, 'Onur Demirors': 1, 'Marina Adomeit': 1, 'MiguelAngel Sicilia': 1, 'Shamsul Sahibuddin': 1, 'Alain Abran': 1, 'Banu Aysolmaz': 1, 'Bartosz Walter': 1, 'Josselyn Chamilco': 1, 'Marcin Wolski': 1, 'Branko Marovic': 1, 'Sussy BayonaOre': 1}"
Sara Ramezanian,"{'Ranjit Kumaresan': 1, 'Dowon Hong': 1, 'Paul Guthrie': 1, 'Thomas Schneider': 1, 'Yaniv Erlich': 1, 'Sara Ramezanian': 1, 'Andrew Dale': 1, 'Lea Kissner': 1, 'Wenli Wang': 1, 'Benny Pinkas': 1, 'Prateek Mittal': 1, 'Ning Cao': 1, 'Hugo Krawczyk': 1, 'Vladimir Kolesnikov': 1, 'Shundong Li': 1, 'Satrajit Ghosh': 1, 'Ming Li': 1, 'Tommi Meskanen': 1, 'Tamara Dugan': 1, 'Naor Matania': 1, 'Mihir Bellare': 1, 'Shishir Nagaraja': 1}"
Tommi Meskanen,"{'Ranjit Kumaresan': 1, 'Dowon Hong': 1, 'Paul Guthrie': 1, 'Thomas Schneider': 1, 'Yaniv Erlich': 1, 'Sara Ramezanian': 1, 'Andrew Dale': 1, 'Lea Kissner': 1, 'Wenli Wang': 1, 'Benny Pinkas': 1, 'Prateek Mittal': 1, 'Ning Cao': 1, 'Hugo Krawczyk': 1, 'Vladimir Kolesnikov': 1, 'Shundong Li': 1, 'Satrajit Ghosh': 1, 'Ming Li': 1, 'Tommi Meskanen': 1, 'Tamara Dugan': 1, 'Naor Matania': 1, 'Mihir Bellare': 1, 'Shishir Nagaraja': 1}"
Valtteri Niemi,"{'Ranjit Kumaresan': 1, 'Dowon Hong': 1, 'Paul Guthrie': 1, 'Thomas Schneider': 1, 'Yaniv Erlich': 1, 'Sara Ramezanian': 1, 'Andrew Dale': 1, 'Lea Kissner': 1, 'Wenli Wang': 1, 'Benny Pinkas': 1, 'Prateek Mittal': 1, 'Ning Cao': 1, 'Hugo Krawczyk': 1, 'Vladimir Kolesnikov': 1, 'Shundong Li': 1, 'Satrajit Ghosh': 1, 'Ming Li': 1, 'Tommi Meskanen': 1, 'Tamara Dugan': 1, 'Naor Matania': 1, 'Mihir Bellare': 1, 'Shishir Nagaraja': 1}"
Its Application,"{'Set Theory': 1, 'Irrational Numbers': 1}"
De Morgan,"{'St Petersburg': 1, 'Berlin Springer': 1, 'Online Available': 1, 'From Computations': 1}"
Suthee Ruangwises,"{'YF Chien': 1, 'JG Dumas': 1, 'IK Asiedu': 1}"
Toshiya Itoh,"{'YF Chien': 1, 'JG Dumas': 1, 'IK Asiedu': 1}"
JONATHAN STERLING,"{'Unfolding Speci?cations': 1, 'Springer Berlin': 1, 'Cambridge University': 1, 'Op?bration Dually': 1, 'Joyal AJ': 1, 'New York': 1, 'Schloss DagstuhlLeibniz': 1, 'Schloss Dagstuhl': 1, 'Dagstuhl Seminar': 1, 'Let MC': 1}"
CARLO ANGIULI,"{'Unfolding Speci?cations': 1, 'Springer Berlin': 1, 'Cambridge University': 1, 'Op?bration Dually': 1, 'Joyal AJ': 1, 'New York': 1, 'Schloss DagstuhlLeibniz': 1, 'Schloss Dagstuhl': 1, 'Dagstuhl Seminar': 1, 'Let MC': 1}"
MetricBased Evaluation,"{'IWSM Mensura': 1, 'De Alwis': 1, 'Heraklion Greece': 1}"
Lukas Linsbauer,"{'Lake Buena': 1, 'AAAI Press': 1, 'Controlled Variables': 1, 'Van Rossum': 1, 'Group CV': 1}"
Alexander Egyed?,"{'Lake Buena': 1, 'AAAI Press': 1, 'Controlled Variables': 1, 'Van Rossum': 1, 'Group CV': 1}"
Jessica Velasco,{'GH Dayan': 1}
MAHSA ZARNESHAN,{'Julian Goldman': 1}
FATEMEH GHASSEMI,{'Julian Goldman': 1}
EHSAN KHAMESPANAH,{'Julian Goldman': 1}
MARJAN SIRJANI,{'Julian Goldman': 1}
Mikolaj Wieczorek,"{ 'Ping Luo': 1, 'Xingang Pan': 1}"
Andrzej Michalowski,"{ 'Ping Luo': 1, 'Xingang Pan': 1}"
Tian Wang,{'SF Chang': 1}
Shiye Lei,{'SF Chang': 1}
Youyou Jiang,{'SF Chang': 1}
Choi Chang,{'SF Chang': 1}
Hichem Snoussi,{'SF Chang': 1}
Guangcun Shan,{'SF Chang': 1}
Hongbin Zhuang,"{'ZX Tian': 1, 'SY Hsieh': 1, 'LH Hsu': 1, 'MM Gu': 1, 'By De?nition': 1, 'By Lemma': 1, 'PL Lai': 1, 'JM Chang': 1, 'SL Peng': 1, 'GH Hsu': 1, 'SL Zhao': 1, 'CK Lin': 1, 'RX Hao': 1, 'RW Hung': 1, 'JM Xu': 1, 'JR Liang': 1}"
Wenzhong Guo,"{'ZX Tian': 1, 'SY Hsieh': 1, 'LH Hsu': 1, 'MM Gu': 1, 'By De?nition': 1, 'By Lemma': 1, 'PL Lai': 1, 'JM Chang': 1, 'SL Peng': 1, 'GH Hsu': 1, 'SL Zhao': 1, 'CK Lin': 1, 'RX Hao': 1, 'RW Hung': 1, 'JM Xu': 1, 'JR Liang': 1}"
Xiaoyan Li,"{'ZX Tian': 1, 'SY Hsieh': 1, 'LH Hsu': 1, 'MM Gu': 1, 'By De?nition': 1, 'By Lemma': 1, 'PL Lai': 1, 'JM Chang': 1, 'SL Peng': 1, 'GH Hsu': 1, 'SL Zhao': 1, 'CK Lin': 1, 'RX Hao': 1, 'RW Hung': 1, 'JM Xu': 1, 'JR Liang': 1}"
Ximeng Liu,"{'ZX Tian': 1, 'SY Hsieh': 1, 'LH Hsu': 1, 'MM Gu': 1, 'By De?nition': 1, 'By Lemma': 1, 'PL Lai': 1, 'JM Chang': 1, 'SL Peng': 1, 'GH Hsu': 1, 'SL Zhao': 1, 'CK Lin': 1, 'RX Hao': 1, 'RW Hung': 1, 'JM Xu': 1, 'JR Liang': 1}"
Islamic Azad,"{'El Abbadi': 1, 'Sh Behzad': 1, 'TS Randhawa': 1, 'Th Clausen': 1}"
Saket Warade,"{'YiChen Wei': 1, 'Zhou Ren': 1, 'Jingjing Meng': 1, 'Weiyuan Liu': 1, 'Jian Sun': 1, 'ShuFang Chen': 1, 'Dongjun Seo': 1, 'Borko Furht': 1, 'Jongwook Kang': 1, 'Dale Rowe': 1, 'Baining Guo': 1, 'Zhengyou Zhang': 1, 'Bret Swan': 1, 'Dongseok Jung': 1, 'Lu Xia': 1, 'Junsong Yuan': 1, 'JunDa Huang': 1, 'YaoJen Chang': 1, 'Norman Villaroman': 1, 'ChiaChih Chen': 1}"
Jagannath Aghav,"{'YiChen Wei': 1, 'Zhou Ren': 1, 'Jingjing Meng': 1, 'Weiyuan Liu': 1, 'Jian Sun': 1, 'ShuFang Chen': 1, 'Dongjun Seo': 1, 'Borko Furht': 1, 'Jongwook Kang': 1, 'Dale Rowe': 1, 'Baining Guo': 1, 'Zhengyou Zhang': 1, 'Bret Swan': 1, 'Dongseok Jung': 1, 'Lu Xia': 1, 'Junsong Yuan': 1, 'JunDa Huang': 1, 'YaoJen Chang': 1, 'Norman Villaroman': 1, 'ChiaChih Chen': 1}"
Claude Petitpierre,"{'YiChen Wei': 1, 'Zhou Ren': 1, 'Jingjing Meng': 1, 'Weiyuan Liu': 1, 'Jian Sun': 1, 'ShuFang Chen': 1, 'Dongjun Seo': 1, 'Borko Furht': 1, 'Jongwook Kang': 1, 'Dale Rowe': 1, 'Baining Guo': 1, 'Zhengyou Zhang': 1, 'Bret Swan': 1, 'Dongseok Jung': 1, 'Lu Xia': 1, 'Junsong Yuan': 1, 'JunDa Huang': 1, 'YaoJen Chang': 1, 'Norman Villaroman': 1, 'ChiaChih Chen': 1}"
Sandeep Udayagiri,"{'YiChen Wei': 1, 'Zhou Ren': 1, 'Jingjing Meng': 1, 'Weiyuan Liu': 1, 'Jian Sun': 1, 'ShuFang Chen': 1, 'Dongjun Seo': 1, 'Borko Furht': 1, 'Jongwook Kang': 1, 'Dale Rowe': 1, 'Baining Guo': 1, 'Zhengyou Zhang': 1, 'Bret Swan': 1, 'Dongseok Jung': 1, 'Lu Xia': 1, 'Junsong Yuan': 1, 'JunDa Huang': 1, 'YaoJen Chang': 1, 'Norman Villaroman': 1, 'ChiaChih Chen': 1}"
Leyla Roohi,{'PV Egocentric': 1}
Mehrshad Zandigohar,{'Sharif Razavian': 1}
Mo Han,{'Sharif Razavian': 1}
Deniz Erdo,{'Sharif Razavian': 1}
Gunar Schirner,{'Sharif Razavian': 1}
Julien Siebert,"{'Fuyuki Ishikawa': 1, 'Koichi Hamada': 1}"
Lisa Joeckel,"{'Fuyuki Ishikawa': 1, 'Koichi Hamada': 1}"
Jens Heidrich,"{'Fuyuki Ishikawa': 1, 'Koichi Hamada': 1}"
Koji Nakamichi,"{'Fuyuki Ishikawa': 1, 'Koichi Hamada': 1}"
FLORIAN STEINBERG,"{'Samuel Hym': 1, 'Springer Science': 1, 'Berlin Springer': 1}"
LAURENT TH,"{'Samuel Hym': 1, 'Springer Science': 1, 'Berlin Springer': 1}"
Abu Sufian,"{'Royer EM': 1, 'DrRSDWahida Banu': 1, 'Anuradha Banerjee': 1, 'Paramartha Dutta': 1, 'Perkins CE': 1, 'Paramartha Duta': 1, 'Lei Wang': 1, 'Mounir Frikha': 1, 'AD Omar': 1, 'MT Yahya': 1, 'Abu Sufian': 1, 'Lianfang Zhang': 1, 'Jennifer JNLiuc': 1, 'Salma Ktari': 1, 'Amir Darehshoorzadeh': 1, 'Houda Labiod': 1, 'An Efficient': 1, 'JJ GarciaLunaAceves': 1}"
Farhana Sultana,"{'Royer EM': 1, 'DrRSDWahida Banu': 1, 'Anuradha Banerjee': 1, 'Paramartha Dutta': 1, 'Perkins CE': 1, 'Paramartha Duta': 1, 'Lei Wang': 1, 'Mounir Frikha': 1, 'AD Omar': 1, 'MT Yahya': 1, 'Abu Sufian': 1, 'Lianfang Zhang': 1, 'Jennifer JNLiuc': 1, 'Salma Ktari': 1, 'Amir Darehshoorzadeh': 1, 'Houda Labiod': 1, 'An Efficient': 1, 'JJ GarciaLunaAceves': 1}"
Paramartha Dutta,"{'Royer EM': 1, 'DrRSDWahida Banu': 1, 'Anuradha Banerjee': 1, 'Paramartha Dutta': 1, 'Perkins CE': 1, 'Paramartha Duta': 1, 'Lei Wang': 1, 'Mounir Frikha': 1, 'AD Omar': 1, 'MT Yahya': 1, 'Abu Sufian': 1, 'Lianfang Zhang': 1, 'Jennifer JNLiuc': 1, 'Salma Ktari': 1, 'Amir Darehshoorzadeh': 1, 'Houda Labiod': 1, 'An Efficient': 1, 'JJ GarciaLunaAceves': 1}"
Stefan Wagner,"{'Online Available': 1, 'Anthony Iannino': 1, 'Helmut Fischer': 1, 'Bev Littlewood': 1, 'FW Scholz': 1, 'Tilman Seifert': 1, 'Stefan Wagner': 1, 'PM Nagel': 1, 'Normal Scrum': 2, 'For Challenge': 2}"
Bingqing Shen,"{'El Abbadi': 1, 'De Freitas': 1}"
Jingzhi Guo,"{'El Abbadi': 1, 'De Freitas': 1}"
Indonesian Journal,{'AP Murdan': 1}
Electrical Engineering,{'AP Murdan': 1}
Helge Spieker,{'De Raedt': 1}
Arnaud Gotlieb,{'De Raedt': 1}
Ravimal Bandara,"{'Nayar SK': 1, 'Bandara AMRR': 1, 'Yang Mingqiang': 1, 'Jung HS': 1, 'Luo Juan': 1, 'Orientation Normalization': 1, 'Abdelkhalak Bahri': 1, 'Burghouts GJ': 1, 'Nene SA': 1, 'Kim MU': 1, 'Kim DH': 1, 'Piao JC': 1, 'Ch Uma': 1, 'Evaluation Criteria': 1, 'Barkans AC': 1, 'Classification Performance': 1, 'Experiment Procedure': 1, 'Tejas Kanikdaley': 1, 'Geusebroek JM': 1}"
Lochandaka Ranathunga,"{'Nayar SK': 1, 'Bandara AMRR': 1, 'Yang Mingqiang': 1, 'Jung HS': 1, 'Luo Juan': 1, 'Orientation Normalization': 1, 'Abdelkhalak Bahri': 1, 'Burghouts GJ': 1, 'Nene SA': 1, 'Kim MU': 1, 'Kim DH': 1, 'Piao JC': 1, 'Ch Uma': 1, 'Evaluation Criteria': 1, 'Barkans AC': 1, 'Classification Performance': 1, 'Experiment Procedure': 1, 'Tejas Kanikdaley': 1, 'Geusebroek JM': 1}"
Piyashat Sripratak,"{'SD Noble': 1, 'AP Punnen': 1, 'VT Perekrest': 1, 'BH Shen': 1, 'RK Ahuja': 1, 'Unless PNP': 1, 'VG Vizing': 1, 'AE Koller': 1, 'GA Kochenberger': 1, 'SN Kabadi': 1, 'VI Rublineckii': 1, 'JB Orlin': 1, 'VI Sarvanov': 1}"
Daniel Karapetyan,"{'SD Noble': 1, 'AP Punnen': 1, 'VT Perekrest': 1, 'BH Shen': 1, 'RK Ahuja': 1, 'Unless PNP': 1, 'VG Vizing': 1, 'AE Koller': 1, 'GA Kochenberger': 1, 'SN Kabadi': 1, 'VI Rublineckii': 1, 'JB Orlin': 1, 'VI Sarvanov': 1}"
