Name（当前作者）,Value（该作者引用过的作者及引用次数）
Aasim Khurshid,"{'Lindasalwa Muda': 1, 'Mumtaj Begam': 1, 'FK Song': 1, 'BH Juang': 1, 'Mustafa Jamil': 1, 'IT Jolliffe': 1, 'Character Recognition': 1, 'Jianchang Mao': 1, 'LR Rabiner': 1, 'AE Rosenberg': 1, 'Tom Mitchell': 1}"
Adeel Akram,"{'Lindasalwa Muda': 1, 'Mumtaj Begam': 1, 'FK Song': 1, 'BH Juang': 1, 'Mustafa Jamil': 1, 'IT Jolliffe': 1, 'Character Recognition': 1, 'Jianchang Mao': 1, 'LR Rabiner': 1, 'AE Rosenberg': 1, 'Tom Mitchell': 1}"
THOMAS JENSEN,{'JD Choi': 1}
FLORENT KIRCHNER,{'JD Choi': 1}
Sheshendra Rathi,"{'Fan Jiang': 1, 'Shaoping Ku': 1, 'Nick Farrel': 1}"
Renyi Entropy,"{'RJS Cintra': 1, 'DE Abasolo': 1, 'MMS Lira': 1, 'Wavelet Entropy': 1, 'PA Moretin': 1}"
Sachin Lakra,"{'Roger Jang': 1, 'PWC Prasad': 1, 'AM Haidar': 1, 'PH Cohen': 1, 'RT Kumara': 1, 'AK Singh': 1, 'RJ Kuo': 1}"
Deepak Sharma,"{'Roger Jang': 1, 'PWC Prasad': 1, 'AM Haidar': 1, 'PH Cohen': 1, 'RT Kumara': 1, 'AK Singh': 1, 'RJ Kuo': 1}"
Anubhav Sharma,"{'Roger Jang': 1, 'PWC Prasad': 1, 'AM Haidar': 1, 'PH Cohen': 1, 'RT Kumara': 1, 'AK Singh': 1, 'RJ Kuo': 1}"
Hossain Mahmud,{'CY Chow': 1}
Sotirios Kentrosa,{'KJ Lin': 1}
Aggelos Kiayiasa,{'KJ Lin': 1}
Ryul Kim,"{'JL Yucas': 1, 'RW Fitzgerald': 1, 'GL Mullen': 1}"
HyonChol Ri,"{'JL Yucas': 1, 'RW Fitzgerald': 1, 'GL Mullen': 1}"
Industrial Consultancy,"{'SN Wu': 1, 'CF Juang': 1, 'CT Lin': 1, 'JS Wang': 1}"
Eman AbdelAziz,"{'AS Abutaleb': 1, 'AE Zaart': 1, 'YL Zhang': 1, 'XJ Wu': 1, 'AD Brink': 1, 'CH Wen': 1, 'EXPERIMENTAL RESULTS': 1, 'IA Esquef': 1, 'MD Srinath': 1, 'KS Fu': 1, 'WT Chen': 1, 'PK Sahoo': 1, 'JK Mui': 1}"
New Delhi,"{'Bo Pang': 1, 'XY Zhu': 1}"
YOAD LUSTIG,"{'JR Buchi': 1, 'DE Muller': 1, 'JG Kemeny': 1}"
SUMIT NAIN,"{'JR Buchi': 1, 'DE Muller': 1, 'JG Kemeny': 1}"
AND MOSHE,"{'JR Buchi': 1, 'DE Muller': 1, 'JG Kemeny': 1}"
Lukasz Bolikowski,"{'ZiKe Zhang': 1, 'Arash Joorabchi': 1, 'John Wiley': 1, 'Ken Barker': 1, 'Sreenivas Gollapudi': 1, 'Gerasimos Spanakis': 1, 'Rakesh Agrawal': 1, 'Georgios Siolas': 1, 'Jian Hu': 1, 'Dave Engel': 1, 'Apache OpenNLP': 1, 'Linyuan Lu': 1, 'Pu Wang': 1, 'Stuart Rose': 1}"
Lavdim Kurtaj,"{'Rafael Kelly': 1, 'Idan Segev': 1, 'Fenglan Jia': 1, 'Egidio DAngelo': 1, 'Zhang Wenhui': 1, 'Yongqiao Wei': 1, 'Masao Ito': 1, 'Gilad Jacobson': 1, 'Masakazu Konishi': 1, 'Wen Yu': 1,  'Li Hou': 1, 'Panagiotis Nezis': 1, 'Peter Corke': 1, 'Slater NT': 1, 'William Hodos': 1, 'Schuerger RJ': 1, 'Zhu Yinfa': 1, 'Fabrizio Gabbiani': 1, 'John Porrill': 1, 'Jingdong Zhang': 1, 'Martin Garwicz': 1, 'Qinglin Chang': 1, 'David Marr': 1, 'Henrik J?rntell': 1, 'Bishop GA': 1, 'Karl Herrup': 1, 'Christof Koch': 1, 'Egidio DAngel': 1, 'Paul Dean': 1, 'Jin Bao': 1, 'Barbara Kuemerle': 1, 'CarlFredrik Ekerot': 1}"
Ilir Limani,"{'Rafael Kelly': 1, 'Idan Segev': 1, 'Fenglan Jia': 1, 'Egidio DAngelo': 1, 'Zhang Wenhui': 1, 'Yongqiao Wei': 1, 'Masao Ito': 1, 'Gilad Jacobson': 1, 'Masakazu Konishi': 1, 'Wen Yu': 1,  'Li Hou': 1, 'Panagiotis Nezis': 1, 'Peter Corke': 1, 'Slater NT': 1, 'William Hodos': 1, 'Schuerger RJ': 1, 'Zhu Yinfa': 1, 'Fabrizio Gabbiani': 1, 'John Porrill': 1, 'Jingdong Zhang': 1, 'Martin Garwicz': 1, 'Qinglin Chang': 1, 'David Marr': 1, 'Henrik J?rntell': 1, 'Bishop GA': 1, 'Karl Herrup': 1, 'Christof Koch': 1, 'Egidio DAngel': 1, 'Paul Dean': 1, 'Jin Bao': 1, 'Barbara Kuemerle': 1, 'CarlFredrik Ekerot': 1}"
