author,h_index,total_citations,paper_count
Faisal Shah Khan,2,60,2
Marelie H. Davel,2,29,6
Olivier Danvy,2,103,2
Samuel R. Buss,2,85,2
Marcelo Arenas,2,149,2
Pablo Barcelo,2,148,3
Rick Salay,2,66,2
Predrag Janicic,2,30,2
Vincent Labatut,2,103,2
Vishwanath Raman,2,51,2
Gunnar K?nig,2,64,2
Andrea Corradini,2,70,2
Marvin N. Wright,2,64,2
Bo N?rregaard J?rgensen,2,5,5
Russell Miller,2,12,2
Robert Brijder,2,29,2
Francois Laroussinie,2,201,2
Andreas Winter,2,36,2
Alberto Carraro,2,16,2
Michelangelo Bucci,2,65,3
Jelle Don,2,204,2
Viorica Sofronie-Stokkermans,2,103,2
Serge Fehr,2,204,2
Leonid Libkin,2,228,3
Mihalis Yannakakis,2,294,2
Hocine Cherifi,2,113,2
Martin Berger,2,37,2
Pat Morin,2,61,3
Roland Meyer,2,18,2
Douglas Cenzer,2,10,2
Francesc Comellas,2,66,2
Marcin Jurdzinski,2,149,2
Andrea Asperti,2,60,2
Andre Platzer,2,140,2
Florent Jacquemard,2,37,2
Etienne Lozes,2,29,2
M. Rizwan Jameel Qureshi,2,13,2
J. A. Bergstra,2,7,2
Robert Rettinger,2,20,3
Uwe Aickelin,2,1177,3
Jingpeng Li,2,1177,2
Jo?l Ouaknine,2,21,2
Claudia Faggian,2,41,2
Yuri Gurevich,2,64,2
Dean Rosenzweig,2,64,2
Alexis B¨¨s,2,25,2
Patrick Baillot,2,55,2
Michelle Blom,2,23,5
Florian Horn,2,17,2
Alan Jeffrey,2,134,3
Wolfgang Thomas,2,95,2
Vanessa Teague,2,23,4
Ines Klimann,2,96,2
Andreas Blass,2,64,2
Paolo Capriotti,2,105,2
Benjamin Rossman,2,65,3
Claude Tardif,2,103,2
Krzysztof Czarnecki,2,66,2
Gilles Dowek,2,45,2
Petr Hlineny,2,55,2
Martin Lange,2,45,2
Joost Engelfriet,2,27,2
Bakhadyr Khoussainov,2,123,2
Shin-ya Katsumata,2,25,3
Michele Basaldella,2,77,2
Guillaume Bonfante,2,22,2
C. A. Middelburg,2,8,3
Joel Ouaknine,2,157,2
Armin Biere,2,259,2
Victor Dalmau,2,121,2
Masahito Hasegawa,2,18,2
Lutz Strassburger,2,78,2
Cornelius Diekmann,2,21,2
Alwen Tiu,2,83,2
Ron Fulbright,2,9,2
Vincent Christlein,2,72,3
Javier Esparza,2,187,3
Ian McQuillan,2,20,5
Shane Mansfield,2,124,2
Rudolf Gr¨¹bel,2,10,2
Wan Fokkink,2,59,2
Anna Ingolfsdottir,2,58,2
Erik Winfree,2,45,2
Georg Carle,2,21,2
Yo¨¤v Montacute,2,5,2
Chad E. Brown,2,44,2
Dominik Kirst,2,8,2
Gilles Brassard,2,4780,2
Andrei Asinowski,2,45,2
Zhongzhi Zhang,2,66,2
